attempts_week_start,counter,success_count,success_rate
2024-01-01,7184,3328,0.46325167037861914
2024-01-02,7135,3215,0.4505956552207428
2024-01-03,7077,2779,0.3926805143422354
2024-01-04,6621,2574,0.3887630267331219
2024-01-05,6003,2374,0.3954689322005664
2024-01-06,6906,3141,0.45482189400521283
2024-01-07,6756,3000,0.44404973357015987
2024-01-08,6894,2990,0.4337104728749637
2024-01-09,7484,3344,0.44681988241582044
2024-01-10,8285,3652,0.4407966203983102
2024-01-11,7596,3598,0.47367035281727227
2024-01-12,6735,3363,0.49933184855233853
2024-01-13,10004,4243,0.4241303478608557
2024-01-14,6814,3917,0.5748459054886997
2024-01-15,6684,3891,0.5821364452423698
2024-01-16,6676,3531,0.5289095266626722
2024-01-17,6597,3470,0.5259966651508261
2024-01-18,6221,3106,0.4992766436264266
2024-01-19,5915,3030,0.5122569737954353
2024-01-20,7545,4161,0.5514910536779324
2024-01-21,7528,4215,0.5599096705632306
2024-01-22,7073,3843,0.5433338046090768
2024-01-23,7011,3824,0.5454286121808587
2024-01-24,7235,3718,0.513890808569454
2024-01-25,6481,2939,0.45347940132695574
2024-01-26,6078,3096,0.5093780848963475
2024-01-27,8088,4510,0.5576162215628091
2024-01-28,7280,3851,0.5289835164835165
2024-01-29,6849,3529,0.5152577018542853
2024-01-30,7021,3726,0.5306936333855576
2024-01-31,7040,3774,0.5360795454545455
2024-02-01,9632,3989,0.41414036544850497
2024-02-02,10387,3731,0.3591989987484355
2024-02-03,9491,4451,0.46897060372984933
2024-02-04,9074,4427,0.48787745206083316
2024-02-05,8302,3909,0.47085039749457963
2024-02-06,6684,2950,0.4413524835427888
2024-02-07,6262,2546,0.4065793676141808
2024-02-08,6178,2187,0.35399805762382647
2024-02-09,6358,2463,0.38738597043095313
2024-02-10,6919,2937,0.424483306836248
2024-02-11,5878,2341,0.3982647158897584
2024-02-12,6849,2892,0.422251423565484
2024-02-13,6420,2800,0.43613707165109034
2024-02-14,6498,2146,0.33025546321945215
2024-02-15,6783,1742,0.2568185168804364
2024-02-16,6195,2181,0.35205811138014526
2024-02-17,6580,3052,0.46382978723404256
2024-02-18,6530,3029,0.46385911179173045
2024-02-19,7645,3539,0.46291693917593196
2024-02-20,6928,3315,0.4784930715935335
2024-02-21,7253,3491,0.4813180752791948
2024-02-22,7730,3493,0.451875808538163
2024-02-23,6989,3391,0.4851910144512806
2024-02-24,7808,4243,0.5434170081967213
2024-02-25,6881,3705,0.538439180351693
2024-02-26,9880,5974,0.6046558704453441
2024-02-27,8713,5402,0.6199931137380925
2024-02-28,9219,5724,0.6208916368369671
2024-02-29,7292,4034,0.5532089961601755
2024-03-01,8390,4915,0.5858164481525626
2024-03-02,8419,5060,0.6010214989903789
